00:05:03:621  INFO 82092 --- [http-nio-9003-exec-3] l.lingbao.car.controller.CarController   : /cars/{carId} get -> getById: carId = 1; 根据id查询车辆
00:05:09:532  INFO 82092 --- [http-nio-9003-exec-6] l.lingbao.car.controller.CarController   : /cars/{carId}/{startTime}/{endTime} get -> isUsableCarTime: carId = 1, startTime = 2024-01-26 09:00:00, endTime = 2024-01-29 09:00:00; 查询车辆在该时间段是否可用
00:05:10:137  INFO 82092 --- [rpcDispatch_RMROLE_1_4_40] i.s.c.r.p.c.RmBranchCommitProcessor      : rm client handle branch commit process:xid=192.168.49.128:8099:45516492842369160,branchId=45516492842369162,branchType=XA,resourceId=jdbc:mysql://192.168.49.128:3306/vehicle_dispatch,applicationData=null
00:05:10:138  INFO 82092 --- [rpcDispatch_RMROLE_1_4_40] io.seata.rm.AbstractRMHandler            : Branch committing: 192.168.49.128:8099:45516492842369160 45516492842369162 jdbc:mysql://192.168.49.128:3306/vehicle_dispatch null
00:05:10:141  INFO 82092 --- [rpcDispatch_RMROLE_1_4_40] i.s.rm.datasource.xa.ResourceManagerXA   : 192.168.49.128:8099:45516492842369160-45516492842369162 was committed.
00:05:10:142  INFO 82092 --- [rpcDispatch_RMROLE_1_4_40] io.seata.rm.AbstractRMHandler            : Branch commit result: PhaseTwo_Committed
00:05:10:146  INFO 82092 --- [rpcDispatch_RMROLE_1_5_40] i.s.c.r.p.c.RmBranchCommitProcessor      : rm client handle branch commit process:xid=192.168.49.128:8099:45516492842369160,branchId=45516492842369163,branchType=XA,resourceId=jdbc:mysql://192.168.49.128:3306/vehicle_dispatch,applicationData=null
00:05:10:147  INFO 82092 --- [rpcDispatch_RMROLE_1_5_40] io.seata.rm.AbstractRMHandler            : Branch committing: 192.168.49.128:8099:45516492842369160 45516492842369163 jdbc:mysql://192.168.49.128:3306/vehicle_dispatch null
00:05:10:150  INFO 82092 --- [rpcDispatch_RMROLE_1_5_40] i.s.rm.datasource.xa.ResourceManagerXA   : 192.168.49.128:8099:45516492842369160-45516492842369163 was committed.
00:05:10:150  INFO 82092 --- [rpcDispatch_RMROLE_1_5_40] io.seata.rm.AbstractRMHandler            : Branch commit result: PhaseTwo_Committed
00:29:46:141 ERROR 82092 --- [com.alibaba.nacos.client.naming.updater.0] com.alibaba.nacos.common.remote.client   : Send request fail, request = ServiceQueryRequest{headers={}, requestId='null'}, retryTimes = 0, errorMessage = java.util.concurrent.TimeoutException: Waited 3000 milliseconds (plus 6 milliseconds, 251200 nanoseconds delay) for com.alibaba.nacos.shaded.io.grpc.stub.ClientCalls$GrpcFuture@3a933ce0[status=PENDING, info=[GrpcFuture{clientCall={delegate={delegate=ClientCallImpl{method=MethodDescriptor{fullMethodName=Request/request, type=UNARY, idempotent=false, safe=false, sampledToLocalTracing=true, requestMarshaller=com.alibaba.nacos.shaded.io.grpc.protobuf.lite.ProtoLiteUtils$MessageMarshaller@6f073420, responseMarshaller=com.alibaba.nacos.shaded.io.grpc.protobuf.lite.ProtoLiteUtils$MessageMarshaller@2bcd7ea6, schemaDescriptor=com.alibaba.nacos.api.grpc.auto.RequestGrpc$RequestMethodDescriptorSupplier@767673f2}}}}}]]
00:29:48:254 ERROR 82092 --- [com.alibaba.nacos.client.naming.updater.0] com.alibaba.nacos.common.remote.client   : Send request fail, request = ServiceQueryRequest{headers={app=unknown}, requestId='null'}, retryTimes = 0, errorMessage = Client not connected, current status:UNHEALTHY
00:29:48:362 ERROR 82092 --- [com.alibaba.nacos.client.naming.updater.0] com.alibaba.nacos.common.remote.client   : Send request fail, request = ServiceQueryRequest{headers={app=unknown}, requestId='null'}, retryTimes = 1, errorMessage = Client not connected, current status:UNHEALTHY
00:29:48:469 ERROR 82092 --- [com.alibaba.nacos.client.naming.updater.0] com.alibaba.nacos.common.remote.client   : Send request fail, request = ServiceQueryRequest{headers={app=unknown}, requestId='null'}, retryTimes = 2, errorMessage = Client not connected, current status:UNHEALTHY
00:29:49:006  INFO 82092 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : [caa4977f-c0a1-4d85-8dea-f91a7cd0fb6b] Server healthy check fail, currentConnection = 1706284481631_192.168.49.1_60898
00:29:49:006  INFO 82092 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : [caa4977f-c0a1-4d85-8dea-f91a7cd0fb6b] Try to reconnect to a new server, server is  not appointed, will choose a random server.
00:29:49:128  INFO 82092 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : [caa4977f-c0a1-4d85-8dea-f91a7cd0fb6b] Success to connect a server [192.168.49.128:8848], connectionId = 1706286589042_192.168.49.1_64791
00:29:49:128  INFO 82092 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : [caa4977f-c0a1-4d85-8dea-f91a7cd0fb6b] Abandon prev connection, server is 192.168.49.128:8848, connectionId is 1706284481631_192.168.49.1_60898
00:29:49:129  INFO 82092 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : Close current connection 1706284481631_192.168.49.1_60898
00:29:49:138  INFO 82092 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : [caa4977f-c0a1-4d85-8dea-f91a7cd0fb6b] Notify disconnected event to listeners
00:29:49:140  INFO 82092 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : [caa4977f-c0a1-4d85-8dea-f91a7cd0fb6b] Notify connected event to listeners.
00:29:49:141  INFO 82092 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : [caa4977f-c0a1-4d85-8dea-f91a7cd0fb6b] Server check success, currentServer is 192.168.49.128:8848 
00:29:49:141  WARN 82092 --- [nacos-grpc-client-executor-431] c.a.n.c.remote.client.grpc.GrpcClient    : [1706284481631_192.168.49.1_60898]Ignore error event,isRunning:true,isAbandon=true
00:29:50:507  INFO 82092 --- [nacos-grpc-client-executor-437] com.alibaba.nacos.common.remote.client   : [caa4977f-c0a1-4d85-8dea-f91a7cd0fb6b] Receive server push request, request = NotifySubscriberRequest, requestId = 1812
00:29:50:508  INFO 82092 --- [nacos-grpc-client-executor-437] com.alibaba.nacos.common.remote.client   : [caa4977f-c0a1-4d85-8dea-f91a7cd0fb6b] Ack server push request, request = NotifySubscriberRequest, requestId = 1812
01:05:21:128  INFO 82092 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : [caa4977f-c0a1-4d85-8dea-f91a7cd0fb6b] Server healthy check fail, currentConnection = 1706286589042_192.168.49.1_64791
